EmployeeNumber,Attrition,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
14,0,35,809,16,3,1,1,84,4,1,2,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,0,29,153,15,2,4,0,49,2,2,3,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,0,31,670,26,1,1,1,31,3,1,3,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18,0,34,1346,19,2,2,1,93,3,1,4,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,1,28,103,24,3,3,1,50,2,1,3,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,0,29,1389,21,4,2,0,51,4,3,1,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21,0,32,334,5,2,1,1,80,4,1,2,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,0,22,1123,16,2,4,1,96,4,1,4,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,0,53,1219,2,4,1,0,78,2,4,4,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,0,38,371,2,3,4,1,45,3,1,4,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,0,24,673,11,2,1,0,96,4,2,3,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
27,1,36,1218,9,4,3,1,82,2,1,1,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28,0,34,419,7,4,1,0,53,3,3,2,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,0,21,391,15,2,3,1,96,3,1,4,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,1,34,699,6,1,2,1,83,3,1,1,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,53,1282,5,3,3,0,58,3,5,3,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
33,1,32,1125,16,1,2,0,72,1,1,1,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,42,691,8,4,3,1,48,3,2,2,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,0,44,477,7,4,1,0,42,2,3,4,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,0,46,705,2,4,2,0,83,3,5,1,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,0,33,924,2,3,3,1,78,3,1,4,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
40,0,44,1459,10,4,4,1,41,3,2,4,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
41,0,30,125,9,2,4,1,83,2,1,3,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,1,39,895,5,3,4,1,56,3,2,4,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
45,1,24,813,1,3,2,1,61,3,1,4,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,0,43,1273,2,2,4,0,72,4,1,3,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,1,50,869,3,2,1,1,86,2,1,3,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
49,0,35,890,2,3,4,0,97,3,1,4,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
51,0,36,852,5,4,2,0,82,2,1,1,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,0,33,1141,1,3,3,0,42,4,2,1,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,0,35,464,4,2,3,1,75,3,1,4,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
54,0,27,1240,2,4,4,0,33,3,1,1,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55,1,26,1357,25,3,1,1,48,1,1,3,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
56,0,27,994,8,3,4,1,37,3,3,3,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,0,30,721,1,2,3,0,58,3,2,4,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
58,1,41,1360,12,3,2,0,49,3,5,3,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
60,0,34,1065,23,4,2,1,72,3,2,3,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,0,37,408,19,2,2,1,73,3,1,2,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,0,46,1211,5,4,1,1,98,3,2,4,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
63,0,35,1229,8,1,4,1,36,4,1,4,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
64,1,48,626,1,2,1,1,98,2,3,3,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,1,28,1434,5,4,3,1,50,3,1,3,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
68,0,44,1488,1,5,2,0,75,3,2,1,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,0,35,1097,11,2,3,1,79,2,3,1,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
72,0,26,1443,23,3,3,0,47,2,2,4,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
73,0,33,515,1,2,1,0,98,3,3,4,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
74,0,35,853,18,5,2,1,71,3,3,1,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
75,0,35,1142,23,4,3,0,30,3,1,1,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
76,0,31,655,7,4,4,1,48,3,2,4,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,0,37,1115,1,4,1,1,51,2,2,3,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
78,0,32,427,1,3,1,1,33,3,2,4,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
79,0,38,653,29,5,4,0,50,3,2,4,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
80,0,50,989,7,2,2,0,43,2,5,3,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81,0,59,1435,25,3,1,0,99,3,3,1,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83,0,36,1223,8,3,3,0,59,3,3,3,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
84,0,55,836,8,3,4,0,33,3,4,3,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85,0,36,1195,11,3,2,1,95,2,2,2,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
86,0,45,1339,7,3,2,1,59,3,3,1,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
88,0,35,664,1,3,2,1,79,3,1,1,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
90,1,36,318,9,3,4,1,79,2,1,3,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
91,0,59,1225,1,1,1,0,57,2,2,3,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
94,0,29,1328,2,3,3,1,76,3,1,2,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
95,0,31,1082,1,4,3,1,87,3,1,2,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,0,32,548,1,3,2,1,66,3,2,2,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,0,36,132,6,3,2,0,55,4,1,4,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
98,0,31,746,8,4,3,0,61,3,2,4,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
100,0,35,776,1,4,3,1,32,2,2,1,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
101,0,45,193,6,4,4,1,52,3,3,1,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
102,0,37,397,7,4,1,1,30,3,3,3,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,0,46,945,5,2,2,1,80,3,2,2,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
104,0,30,852,1,1,4,1,55,2,2,4,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,0,35,1214,1,3,2,1,30,2,1,3,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
106,0,55,111,1,2,1,1,70,3,3,4,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
107,0,38,573,6,3,2,0,79,1,2,4,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
110,0,34,1153,1,2,1,1,94,3,2,2,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
112,0,56,1400,7,3,4,1,49,1,3,4,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113,0,23,541,2,1,3,1,62,3,1,1,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
116,0,51,432,9,4,4,1,96,3,1,4,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
117,0,30,288,2,3,3,1,99,2,2,4,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
118,1,46,669,9,2,3,1,64,2,3,4,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
119,0,40,530,1,4,3,1,78,2,4,2,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
120,0,51,632,21,4,3,1,71,3,2,4,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,0,30,1334,4,2,3,0,63,2,2,2,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,0,46,638,1,3,3,1,40,2,3,1,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
125,0,32,1093,6,4,2,1,87,3,2,3,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
126,0,54,1217,2,4,1,0,60,3,3,3,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
128,0,24,1353,3,2,1,0,33,3,2,3,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
129,0,28,120,4,3,2,1,43,3,2,3,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
131,0,58,682,10,4,4,1,37,3,4,3,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
132,0,44,489,23,3,2,1,67,3,2,2,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
133,1,37,807,6,4,3,1,63,3,1,1,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
134,0,32,827,1,1,4,1,71,3,1,1,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
137,1,20,871,6,3,4,0,66,2,1,4,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138,0,34,665,6,4,1,0,41,3,2,3,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
139,0,37,1040,2,2,3,1,100,2,2,4,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
140,0,59,1420,2,4,3,0,32,2,5,4,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
141,0,50,1115,1,3,1,0,73,3,5,2,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
142,1,25,240,5,3,3,1,46,2,2,3,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
143,0,25,1280,7,1,4,1,64,2,1,4,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
144,0,22,534,15,3,2,0,59,3,1,4,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
145,0,51,1456,1,4,1,0,30,2,3,1,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
147,1,34,658,7,3,1,1,66,1,2,3,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
148,0,54,142,26,3,4,0,30,4,4,4,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
150,0,24,1127,18,1,2,1,52,3,1,3,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
151,0,34,1031,6,4,3,0,45,2,2,2,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
152,0,37,1189,3,3,3,1,87,3,3,4,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
153,0,34,1354,5,3,3,0,45,2,3,1,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
154,0,36,1467,11,2,2,0,92,3,3,4,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
155,0,36,922,3,2,1,0,39,3,1,4,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
158,0,43,394,26,2,3,1,92,3,4,4,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
159,0,30,1312,23,3,1,1,96,1,1,3,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
160,0,33,750,22,2,3,1,95,3,2,2,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
161,1,56,441,14,4,2,0,72,3,1,2,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
162,0,51,684,6,3,1,1,51,3,5,3,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
163,1,31,249,6,4,2,1,76,1,2,3,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
164,0,26,841,6,3,3,0,46,2,1,2,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,1,58,147,23,4,4,0,94,3,3,4,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
167,1,19,528,22,1,4,1,50,3,1,3,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
